Date,Cash,MCT,DBS,STEng,SIA,SIA_Relative
5/9/2014,1,1.143823,15.765308,3.197244,8.866693,1
8/9/2014,1,1.124697,15.834758,3.179868,8.884253,1.001980445
9/9/2014,1,1.120867,15.938936,3.17118,8.893029,1.000987815
10/9/2014,1,1.113215,15.843445,3.179868,8.884253,0.99901316
11/9/2014,1,1.101741,15.956297,3.179868,8.866693,0.998023469
12/9/2014,1,1.105563,16.077839,3.197244,8.884253,1.001980445
15/9/2014,1,1.094089,15.869486,3.17118,8.822799,0.993082817
16/9/2014,1,1.071133,15.721903,3.145115,8.787684,0.996019971
17/9/2014,1,1.082615,15.834758,3.17118,8.81402,1.002996922
18/9/2014,1,1.071133,15.808715,3.17118,8.770125,0.995019866
19/9/2014,1,1.082615,15.739264,3.17118,8.761346,0.998998988
22/9/2014,1,1.067311,15.773991,3.179868,8.743789,0.997996084
23/9/2014,1,1.063489,15.956297,3.188556,8.752567,1.001003913
24/9/2014,1,1.059659,16.017069,3.205932,8.743789,0.998997094
25/9/2014,1,1.059659,15.964981,3.179868,8.726231,0.997991946
26/9/2014,1,1.071133,16.077839,3.197244,8.752567,1.003018027
29/9/2014,1,1.086437,16.077839,3.21462,8.735011,0.997994188
30/9/2014,1,1.078785,15.991024,3.17118,8.638442,0.988944605
1/10/2014,1,1.105563,15.982344,3.162491,8.638442,1
2/10/2014,1,1.113215,15.843445,3.136427,8.620884,0.997967458
3/10/2014,1,1.109393,16.017069,3.162491,8.655998,1.004073132
7/10/2014,1,1.078785,15.97366,3.136427,8.533095,0.985801406
8/10/2014,1,1.109393,15.834758,3.127738,8.497981,0.995884963
9/10/2014,1,1.101741,15.947619,3.17118,8.524317,1.003099089
10/10/2014,1,1.086437,15.826081,3.136427,8.541874,1.002059637
13/10/2014,1,1.074963,15.617727,3.127738,8.585769,1.005138802
14/10/2014,1,1.078785,15.591682,3.119051,8.436527,0.982617515
15/10/2014,1,1.086437,15.661137,3.119051,8.506758,1.008324634
16/10/2014,1,1.074963,15.409375,3.092986,8.471642,0.995871988
17/10/2014,1,1.071133,15.539596,3.119051,8.471642,1
20/10/2014,1,1.074963,15.62641,3.162491,8.445306,0.996891276
21/10/2014,1,1.090267,15.826081,3.162491,8.515538,1.008316099
22/10/2014,1,1.090267,15.826081,3.162491,8.515538,1
24/10/2014,1,1.117044,15.869486,3.136427,8.445306,0.991752488
27/10/2014,1,1.109393,15.930255,3.188556,8.629663,1.021829523
28/10/2014,1,1.101741,15.895527,3.21462,8.524317,0.987792571
29/10/2014,1,1.105563,15.999707,3.223309,8.57699,1.006179146
30/10/2014,1,1.101687,15.912895,3.223309,8.541874,0.99590579
31/10/2014,1,1.109446,16.04311,3.258061,8.691114,1.017471576
3/11/2014,1,1.109446,16.33828,3.266749,8.840357,1.017171907
4/11/2014,1,1.097811,16.451136,3.275437,8.831578,0.999006941
5/11/2014,1,1.097811,16.616079,3.231997,8.893029,1.0069581
6/11/2014,1,1.086168,16.659489,3.197244,8.910589,1.00197458
7/11/2014,1,1.090052,16.789709,3.136427,8.884253,0.997044415
10/11/2014,1,1.10557,17.058825,3.066921,8.998378,1.012845762
11/11/2014,1,1.093928,16.867842,3.023481,8.97204,0.997073028
12/11/2014,1,1.097811,16.720257,3.023481,9.015936,1.004892533
13/11/2014,1,1.101687,16.92861,3.014792,9.05983,1.004868491
14/11/2014,1,1.10557,17.110916,3.014792,9.095117,1.003894885
17/11/2014,1,1.10557,16.75498,2.962663,9.112761,1.001939942
18/11/2014,1,1.101687,16.902563,2.98004,9.121582,1.000967983
19/11/2014,1,1.10557,17.1196,2.953975,9.156868,1.003868408
20/11/2014,1,1.101687,16.980698,2.910535,9.139223,0.998073031
21/11/2014,1,1.097811,17.258497,2.901847,9.183331,1.004826231
24/11/2014,1,1.093928,17.180368,2.945287,9.148045,0.996157603
25/11/2014,1,1.101687,17.215094,2.910535,9.218619,1.007714654
26/11/2014,1,1.109446,17.145641,2.945287,9.245084,1.00287082
27/11/2014,1,1.097811,17.102236,2.927911,9.271549,1.002862602
28/11/2014,1,1.097811,17.215094,2.927911,9.509732,1.025689666
1/12/2014,1,1.113322,16.989378,2.901847,9.350944,0.983302579
2/12/2014,1,1.101687,16.945972,2.910535,9.615592,1.028301742
3/12/2014,1,1.10557,16.850477,2.901847,9.650879,1.003669769
4/12/2014,1,1.109446,16.911247,2.936599,9.659701,1.000914114
5/12/2014,1,1.121082,17.084873,2.910535,9.686165,1.002739629
8/12/2014,1,1.117206,16.92861,2.910535,9.70381,1.00182167
9/12/2014,1,1.113322,17.241138,2.927911,9.880242,1.018181724
10/12/2014,1,1.113322,17.362677,2.971352,10.091963,1.021428726
11/12/2014,1,1.113322,17.189049,2.945287,10.277215,1.018356389
12/12/2014,1,1.128841,17.44949,2.945287,10.259573,0.998283387
15/12/2014,1,1.140484,17.171686,2.910535,10.215466,0.995700893
16/12/2014,1,1.140484,16.642126,2.806276,10.224287,1.000863495
17/12/2014,1,1.132724,16.563992,2.797588,9.977281,0.975841249
18/12/2014,1,1.117206,16.954657,2.841029,10.13607,1.015915057
19/12/2014,1,1.10557,17.301905,2.867094,10.144892,1.000870357
22/12/2014,1,1.109446,17.432129,2.901847,10.268394,1.012173811
23/12/2014,1,1.101687,17.432129,2.901847,10.259573,0.999140956
24/12/2014,1,1.117206,17.536304,2.927911,10.29486,1.003439422
26/12/2014,1,1.113322,17.666523,2.962663,10.29486,1
29/12/2014,1,1.10557,17.848829,2.962663,10.224287,0.993144831
30/12/2014,1,1.101687,17.874876,2.988728,10.233108,1.00086275
31/12/2014,1,1.093928,17.883556,2.953975,10.233108,1
2/1/2015,1,1.101687,17.796741,2.962663,10.188999,0.995689579
5/1/2015,1,1.109446,17.397402,2.945287,10.224287,1.003463343
6/1/2015,1,1.117206,17.215094,2.88447,10.303682,1.007765334
7/1/2015,1,1.124965,17.189049,2.910535,10.550686,1.023972401
8/1/2015,1,1.132724,17.432129,2.919223,10.603618,1.005016925
9/1/2015,1,1.132724,17.475533,2.936599,10.727121,1.011647251
12/1/2015,1,1.117206,17.38872,2.936599,11.027056,1.027960438
13/1/2015,1,1.132724,17.406082,2.927911,11.000592,0.997600085
14/1/2015,1,1.1366,17.345312,2.919223,10.991769,0.999197952
15/1/2015,1,1.140484,17.353994,2.927911,11.009413,1.001605201
16/1/2015,1,1.140484,17.197729,2.910535,10.683012,0.970352552
19/1/2015,1,1.140484,17.102236,2.919223,10.497757,0.982658917
20/1/2015,1,1.140484,17.293226,2.927911,10.630084,1.012605264
21/1/2015,1,1.14436,17.362677,2.945287,11.018234,1.036514293
22/1/2015,1,1.167638,17.362677,2.936599,10.947661,0.99359489
23/1/2015,1,1.202551,17.501577,2.945287,11.018234,1.0064464
26/1/2015,1,1.198667,17.301905,2.945287,11.027056,1.000800673
27/1/2015,1,1.195616,17.38872,2.936599,11.150559,1.011199998
28/1/2015,1,1.203483,17.380037,2.953975,11.079986,0.9936709
29/1/2015,1,1.207413,17.32795,2.945287,11.291706,1.019108327
30/1/2015,1,1.191679,17.180368,2.919223,11.159381,0.988281222
2/2/2015,1,1.203483,17.1196,2.945287,11.124093,0.996837817
3/2/2015,1,1.195616,16.963335,2.953975,10.806515,0.971451335
4/2/2015,1,1.203483,17.015421,2.997416,10.683012,0.988571431
5/2/2015,1,1.21135,16.859159,2.988728,10.727121,1.004128892
